Publisher,Headquarters,Est.,Notable games published,Notes,Active
Raw Fury,"London, UK",2013,"Kathy Rain: Director's Cut, Flat Eye, Superfuse, Mr. Sun's Hatbox, GUN JAM",Beat affect wonder during level.,1
Organic Apps,"Tokyo, Japan",1992,Hope's Journey: A Therapeutic Experience,,1
HypeTrain Digital,"San Francisco, USA",1983,"Quasimorph: End of Dream, Stoneshard: Prologue, DESOLATE, Black Book, 12 is Better Than 6",Quality together real note.,1
Playful Studios,"Tokyo, Japan",2009,New Super Lucky's Tale,,1
Pixel Games UK,"Tokyo, Japan",2019,"Gates of Zendocon, Bounder, Hades Nebula (C64/Spectrum), Krakout (C64/CPC/Spectrum), Kid Chaos",Current sure wish hair.,1
Tristan Hodges,"Montreal, Canada",1990,The Crystal Nebula,,1
Surefire.Games,"New York, USA",1994,"魔物讨伐团, Cursed Treasure 2 Ultimate Edition - Tower Defense, 群鹰之岛, 克苏鲁异闻录, Rogue AI Simulator",Fish individual at can best good low building.,0
Gametroleum,"San Francisco, USA",2014,"Photon Rush, Name The Song Quiz, Hacker News Reader, Overlook: Local multiplayer game - up to 16 players",,1
Phantom EFX,"Amsterdam, Netherlands",2015,Darkest of Days,,1
Thomas K Young,"New York, USA",1996,Dadish 3,,1
The I Love Company BV,"Stockholm, Sweden",2001,DrumBeats VR,,1
Hooded Horse,"Montreal, Canada",2020,"NEBULOUS: Fleet Command, Against the Storm, Old World, Xenonauts 2, Terra Invicta",,0
Fulqrum Publishing,"Seattle, USA",2006,"World War I, Pilot Brothers 3: Back Side of the Earth, Gift of Parthax, Mystery of Unicorn Castle: The Beastmaster, Faces of War",Walk protect read able.,1
Crazysoft Limited,"Toronto, Canada",1997,"Zeus Quest Remastered, Raining Coins, Educational Games for Kids, Tarot Readings Premium, Frutakia 2",,1
SQUARE ENIX,"San Francisco, USA",1998,KINGDOM HEARTS Melody of Memory,,0
Heatwave Studios,"Los Angeles, USA",1998,"Color Phase, Twisted Sails",Nothing author four analysis rate.,1
Senpai Studios,"Amsterdam, Netherlands",1999,"Sins Of The Demon RPG, Secret Of Magia, Marble Mayhem: Fragile Ball, Legend of Mysteria RPG, Greyfox RPG",,1
海量福利免费领，天天送真充！,"Gurugram, India",2000,"仙路争锋-GM畅玩版, 天仙月-GM畅玩版",Under citizen young agreement grow.,1
Albireo Games,"Warsaw, Poland",2000,"Mahjong Solitaire, Othello 2018, Slider",,1
Oplatrust,"Shanghai, China",1989,"Grappling Hook Ball Tournament, Toy Killer",,1
Four Lights,"Seoul, South Korea",1995,"Temporal Shift, Defenders of Time",,1
NoBreadStudio,"Seoul, South Korea",2008,"SoulSet, Blankspace, The Elevator Game with Catgirls",,1
Nojigames,"Melbourne, Australia",2003,Tiny Hunter,American dark someone forward sense unit travel.,1
SRS Games,"New York, USA",1995,"CRAZY DRIVER, PLANES ATTACK, Elon Simulator 2019, LAB Defence, AREA 51 - DEFENCE",,1
Brainchild,"Seoul, South Korea",1999,"The Slaughter: Magdalene, Orbit HD, Space2D, The Slaughter: Act One, SnakeLaw Island",,1
Emet512,"Tokyo, Japan",1994,AlphaBit,,1
Whatboy Games,"Amsterdam, Netherlands",1983,Trials of Fire,,1
像素三角,"Paris, France",2011,最后的阳光 The Last Sunshine,,1
Flox Studios,"Boston, USA",2002,"Wandering Trails: A Hiking Game, Life in Bunker, Mist Hunter, Frozen State",,1
Neverfly Games,"Seattle, USA",1985,Protocol Aftertime,,1
Strife AI,"Los Angeles, USA",1988,Human-Like,,1
Improbable Worlds Limited,"Montreal, Canada",2012,Scavengers,,1
Uppercut Games,"Warsaw, Poland",2000,City of Brass,His house college science vote cause somebody.,1
Atari,"Boston, USA",1999,"Chris Sawyer's Locomotion™, Black Widow: Recharged, Yar's Revenge, Star Raiders, Independence War™ Deluxe Edition",East very right.,1
peijaychao,"Paris, France",2000,BEST VRCADE 9000,Child position debate activity boy charge season first.,1
Hambug Games,"Tokyo, Japan",1987,"Lost Awakening, Cursor Engine",,1
Blue Mana,"Amsterdam, Netherlands",2002,"Fantasy Gladiators, Heroes of Issachar, Duckie Dash",,1
"MidBoss, LLC","Kyoto, Japan",1983,2064: Read Only Memories,Economy result wear three memory better choice party.,1
一只零零发工作室,"Montreal, Canada",1980,Backstab,,1
Ember Lab,"Boston, USA",1993,Kena: Bridge of Spirits,,1
ThinkVirtual LLC,"New York, USA",2000,"Anime Bubble Pop, EGG HUNT VR",,1
Last Dimension,"Paris, France",1992,"Mystik Belle, Ultionus: A Tale of Petty Revenge",,1
Lateral Games,"Kyoto, Japan",2011,Guilt Free,,1
Komodo,"Seoul, South Korea",2006,"Hop Step Sing! Happy People, Pale Echoes, Hop Step Sing! Kimamani☆Summer vacation (HQ Edition), DELTAZEAL, Buffet Knight",Floor such shake service compare decision ball interesting.,1
Survios,"Los Angeles, USA",1992,"Battlewake, Raw Data, Sprint Vector, The Walking Dead Onslaught, Electronauts - VR Music",Growth use while study relate amount.,1
MagicHouse,"Gurugram, India",2014,"Song of sheep gathering in Philia, When Sword Sinks Into Flowers, Chain Of Eroticism, The Mermaid's Secret Remedy The Love Spell, Natalia",,1
Playtonic Friends,"Toronto, Canada",1981,"Demon Turf: Neon Splash, Demon Turf, Demon Turf: Trials, Blossom Tales II: The Minotaur Prince, CorpoNation: The Prologue",,1
Whitethorn Games,"Los Angeles, USA",1999,"BOMBFEST, Onsen Master, Wytchwood, The Forest Cathedral, Kana Quest",,1
NSC Creative,"Toronto, Canada",1995,"We Are Stars, CAPCOM GO! Apollo VR Planetarium, ObserVRtarium",,1
OMSTUDIO,"Seattle, USA",1988,Dr Iwan: Evolution,,1
CITY CONNECTION,"Paris, France",1989,"STRIKERS 1945 III, Final Exerion, Samurai Aces III: Sengoku Cannon, Puzzle Bobble™2X/BUST-A-MOVE™2 Arcade Edition & Puzzle Bobble™3/BUST-A-MOVE™3 S-Tribute, BATSUGUN Saturn Tribute Boosted",Case artist write.,1
Expansive Worlds,"Toronto, Canada",2003,"theHunter: Call of the Wild™, Call of the Wild: The Angler™",,1
Ceej Games,Singapore,1981,Bounce Knight,Traditional leg car white.,1
Denda Games,Singapore,2000,"Jigsaw Pieces 2 - Shades of Mood, Lilly's Flower Shop, Sweet Holiday Jigsaws: Halloween Night, Gems of Magic: Lost Family, House of Jigsaw: Masters of Art",Drive adult affect picture age read so.,1
USM,"Melbourne, Australia",1982,"EXIT The Game – Trial of the Griffin, TKKG - Die Feuerprobe, EXIT - The Curse of Ophir, Catan Universe",Star season heart magazine.,1
FJRD Interactive,"London, UK",2013,Among Trees,Foot make politics statement lose way.,0
Dovetail Games,"Tokyo, Japan",1989,"CSX ES44AC Add-on Livery, Bassmaster® Fishing 2022, Great British Railway Journeys, Train Sim World® 2, Tower!3D",,1
Maze Theory,"Tokyo, Japan",2003,Peaky Blinders: The King's Ransom Complete Edition,Sound newspaper argue vote provide paper center.,1
VIZ Media,"Tokyo, Japan",2004,The World Next Door,Clear resource whatever last.,1
No Moss Studios,"Gurugram, India",1999,"Clouded, Duped",Agency clearly themselves.,1
team17,"Seoul, South Korea",2018,Overcooked,,1
La Poule Noire,"Toronto, Canada",1998,Edgar - Bokbok in Boulzac,,1
TYB Publishing,"San Francisco, USA",1983,"The Great Mushroom Hunt, Santa's Workshop, Plumber: the Pipe Rush",,1
Vitok,"Seattle, USA",2009,"Dark spot, Little drift, Cybercube battle, Spacecraft speed, Speeder",,1
Real Pixel Game,"Melbourne, Australia",2020,Quantum Project,,1
Mohawk Games,"San Francisco, USA",2007,Old World,Sense remember evidence course head key technology surface.,1
Aikasa Collective,"San Francisco, USA",2007,Mizuchi 白蛇心傳,,1
Utsukushii Games,"Los Angeles, USA",2011,"Hentai Casual Slider, Hentai Casual Slider 2, Hentai Casual Swap 2, Hentai Casual Swap, Hentai Blackjack",,1
Wizards of the Coast,"Gurugram, India",2011,"Dungeons & Dragons: Dark Alliance, Magic 2015 - Duels of the Planeswalkers",,1
Big Blue Bubble,"Gurugram, India",2002,"Zombie Bloxx, My Singing Monsters, Foregone, Power Chord, My Singing Monsters Playground",Character mother something pick appear politics enter.,1
Just175,"Amsterdam, Netherlands",2006,Hololive Room Visitor,,1
Skybound Games,"Gurugram, India",2012,"The Walking Dead: Season Two, The Walking Dead, The Walking Dead: A New Frontier, WrestleQuest, The Walking Dead: Final Season",Financial own officer stay push indeed.,1
Cherry Kiss Games,"Seoul, South Korea",1987,"Hot & Steamy Knights, Tails & Titties Hot Spring, Stealing a Monster Girl Harem, Elf Wives Cheat to Ride my Meat, My Married Cousin's Need for Seed",,1
Reforged Group,"Montreal, Canada",1987,"Nervous Granny, SkyJumper, Alien Accident, Problem Animals, Stopocop",,0
Grinding Gear Games,"Gurugram, India",1990,Path of Exile,,1
Flying Carpets Games,Singapore,1989,The Girl and the Robot,Student realize positive speak ground throw cup.,1
Dead Thread Games,"Amsterdam, Netherlands",1994,"We Went Back, Sono",Break cover price place cell notice.,1
owlyboi,"Paris, France",2007,"My Boss is a Futanari, Femboys of the Phalanx, Big Bad Futanari Wolf, Violet Girl - Sexy Encounters, Femboy Besties",,1
Loot Inside,"Toronto, Canada",2019,"Horse Riding Deluxe, Arcade Squad, Horse Riding Deluxe 2, HRD 3 Pegasus Island",,1
Artifex Mundi,"Shanghai, China",1995,"Chronicles of Magic: Divided Kingdoms, Demon Hunter 2: New Chapter, Crime Secrets: Crimson Lily, Enigmatis 2: The Mists of Ravenwood, Yuletide Legends: Who Framed Santa Claus",,1
Happy Hobgoblin,"Paris, France",1984,"Nyheim, Uphill Skiing, Icesolation",,1
Scarecrow Arts,"Los Angeles, USA",1997,"NEAR DEADline, The Story Goes On",,1
Nova's Army,"Melbourne, Australia",2020,"PAGO FOREST: DRAGON'S REVENGE, LA FORET DE PAGO : LA VENGEANCE DU DRAGON, PAGO FOREST: TOWER DEFENSE, CARNAGE OFFERING, CARNAGE OFFERING TD",Not seem price son white low tough.,0
Paper Cult,"Seattle, USA",2015,"Fat Mask, Bloodroots",,1
Michael Frankenhaeuser,"Seoul, South Korea",1992,Der Trapstand,Edge goal edge hotel.,1
Metthink Productions,"Melbourne, Australia",2006,"Tales of Agaris, Heroes of Time 2 - Aizack's Return",Second like just training deal time all.,1
MWM Interactive,"Toronto, Canada",2018,"Mundaun, War Remains: Dan Carlin Presents an Immersive Memory",Your idea toward real far.,1
The GD Studio,"Seattle, USA",2018,Diabotical,,0
Bloom Digital Media,"Kyoto, Japan",1990,"LongStory, Ye Olde Cribbage Club, Later Daters - Premium",,1
Hyperbeam Games,"Toronto, Canada",1990,Card Storm Idle,,1
1.5 hp games,"Los Angeles, USA",1991,Space Carrot,,1
Shellander Games,"Paris, France",1983,Ludde,,1
"Brave Software, Inc.","Los Angeles, USA",1994,Brave,,1
Beetlewing,"Toronto, Canada",1988,Slipways,Tough most you big everything significant hold task.,0
Meleons,"Warsaw, Poland",2009,Colormeleons,Couple by prepare far.,1
Absorb Reality,"Berlin, Germany",2020,"Railed Up, Dissolved - Chapter One",,1
Studio2760,"Amsterdam, Netherlands",2019,"Green Diver, Adventures at the North Pole, Death in the Night, Moi Mei: Hidden Objects, Avocado Puzzle Quest",,1
小小游戏工作室,"Seoul, South Korea",1980,"Roll Ball, Flying Angel, 推箱子, Magic Kingdom War, Elemental Angel",,1
itch.io,"New York, USA",2010,Itch.io,,1
Ravenscourt,"Seattle, USA",2003,"Lost Horizon, Secret Files: Sam Peters, Dice Legacy, Kona II: Brume, ProtoCorgi",,1
Libredia Entertainment,"Warsaw, Poland",2006,"Hotel Collectors Edition, Alicia Griffith – Lakeside Murder, HexaMon, GUTS, HTR+ Slot Car Simulation",,0
William Chyr Studio,"Stockholm, Sweden",1998,Manifold Garden,Hope tough or way.,1
Ouroboros.INC,"Shanghai, China",2011,Reformpunk重組叛客,Sister image window mention.,1
hwg独立游戏,Singapore,1991,Super Kenney,Heavy prove until state.,1
Aeonic Entertainment,"London, UK",2016,Action Legion,,1
JanduSoft,"Los Angeles, USA",2011,"Superola Champion Edition, Evil Inside - Prologue, Scholar's Mate - First Move, Space Revenge, Space Revenge - Prologue",,1
Kenney,"Gurugram, India",2019,"KenShape, Pixross, Frick, Inc.",Mouth never memory.,1
f.y.g.b. Studios,"Toronto, Canada",2015,"final m00n - Defender of the Cubes, Haunted Nightmares, the fairytale of DEATH",,1
Kavasoft,"Gurugram, India",2001,Hyperblade,,1
TheBeamerLLC,"Shanghai, China",2004,Episode 1: MissionKT,,1
LPS-Interactive,"Los Angeles, USA",2004,Enter The Moon,,1
Niko Salocin,"Tokyo, Japan",2002,"Sync Adventure, Lively Chair Simulator",Nor company break small toward summer often we.,1
Bethesda Softworks,"Stockholm, Sweden",2007,"The Elder Scrolls: Arena, Prey: Typhon Hunter, DOOM Eternal: The Ancient Gods - Part Two, RAGE, The Elder Scrolls Online - Greymoor",,1
505 Games,"Berlin, Germany",2002,"Stray Blade, Objects in Space, Assetto Corsa Competizione, ABZU, Journey To The Savage Planet",Child their benefit same.,1
Toplitz Productions,"Seattle, USA",1991,"Transport Giant, Medieval Dynasty, My Little Riding Champion, Starsand, Industry Giant",Offer tend kid blood.,1
David OReilly,Singapore,1985,"Everything, Mountain",,1
Anshar Publishing,"Paris, France",2014,"Gamedec, Liberte",Rest pretty they third section see street that.,1
Mad Dog Games,"Amsterdam, Netherlands",2009,"World War Z Aftermath, Ghostbusters: The Video Game Remastered, Shaq Fu: A Legend Reborn",,1
Real Maxwell LLC,"Los Angeles, USA",1999,Haul Asteroid,,1
WIREGAMES,"London, UK",1997,Primordials: Battle of Gods,,1
Toge Productions,Singapore,2003,"Vanaris Tactics, Vanaris Tactics - Prologue, When The Past Was Around - Prologue, When The Past Was Around, She and the Light Bearer",,1
Sprouting Potato,"London, UK",2001,"Dice Tribes: Ambitions, Crop Rotation",,1
Fondazione MITE,"Amsterdam, Netherlands",1995,Nostalgici Anonimi,,1
Roeb,"Los Angeles, USA",2001,GeraScopia,Wall already decade line author manager indicate.,1
Prime Matter,"Tokyo, Japan",2007,"Painkiller: Recurring Evil, Crossfire: Legion, Outward Definitive Edition, The Last Oricru, Painkiller: Black Edition",Religious color fine seek new get drop.,1
gtscom,"Paris, France",1988,"Chopper: Attack helicopters, Chopper: Lethal darkness",Bed feeling rock local sign gas worker.,1
Doomsday,"Amsterdam, Netherlands",2003,Doomsday School,Spend turn many state tax.,1
Batterystaple,"Gurugram, India",2009,20XX,,1
Snapshot Games,"Toronto, Canada",1983,Phoenix Point,,1
Superbrothers + Pine Scented,"Toronto, Canada",2014,JETT: The Far Shore,Yes which evening what.,1
Mistyczny Arbuz,"Montreal, Canada",2016,Project XMAS,,1
Simplicity Games,"New York, USA",2018,"Brain Show, Volleyball Challenge",,1
CatOnTree Studio,"Toronto, Canada",2020,Riding Seas,Statement city listen.,0
Frictional Games,"New York, USA",1987,"Amnesia: The Bunker, SOMA, Amnesia: Rebirth, Amnesia: A Machine for Pigs, Amnesia: The Dark Descent",,1
Space R Studio,"Amsterdam, Netherlands",1986,Space Route,Send simple thank recently full enjoy issue.,1
Vixenia Game,"Tokyo, Japan",2006,simpliCity,,1
Moby Geek Studios,"Los Angeles, USA",2016,Alice in Wonderland Jigsaw Puzzle,Sport citizen close school third.,1
Virtual Anarchy Studios,"Berlin, Germany",2008,Santa's Visit,,1
"Alexandre Kadri,Paul Hebbinckuys","Shanghai, China",2009,Temp Zero,Knowledge area argue.,1
Orgipix Studios,"Toronto, Canada",1984,PornBitch Hardcore: Hot Explicit Sex,,1
Eggtart Inc,"London, UK",1990,"Demong Hunter, Age of Solitaire : Build Civilization",,1
Studio 46,"Melbourne, Australia",2010,The Companion,,1
Post Boredom Games,"Kyoto, Japan",2002,"Save the Date, Rise and Fall",,1
甘十三郎,"Berlin, Germany",1985,Gan's Matchstick Men：Deadly Rhythm,,1
Albino Studio,"Tokyo, Japan",1987,Mind Rite,,1
Kovalim,"Amsterdam, Netherlands",1990,Gunslingers,Job still during study.,1
んじゃ! リサイクル屋,"Amsterdam, Netherlands",1989,メイジズメイズ　PLAY　～淫魔の洞窟に挑む冒険者～,,1
Romantic Shooter,"New York, USA",1987,Romantic Shooter,,1
Snakebite Studios,"Stockholm, Sweden",2009,Red Rage,Organization phone hold majority lead current operation can.,1
Spark Games,"Los Angeles, USA",1985,X-Sports,,1
Messhof,"Stockholm, Sweden",2013,"Flywrench, Nidhogg, Nidhogg 2",Indeed option old affect nation cell financial break.,1
Donnie D. Washington II,"New York, USA",2003,Violet Haunted,Strong than more down standard outside list.,1
Tupã Games,"San Francisco, USA",2003,Enigmoon,,1
Traviteam Games,"Amsterdam, Netherlands",1988,Scroter,,1
Subagames,"Los Angeles, USA",2007,Luna Online: Reborn,,1
Timeless Tale,"San Francisco, USA",2004,The Timeless Child - Prologue,,1
QontoLabs,"Stockholm, Sweden",2006,QontoWars,,1
Mostly Harmless Games,"Seattle, USA",1996,"Funklift, Munch VR",,0
Gregory Tice,"Toronto, Canada",2005,Horace Hagfish,,1
