Developer,Active,City,Country,Est.,"Notable games, series or franchises",Notes
Croteam,1,Austin,United States,1980-01-12 00:00:00,"Serious Sam 4, Serious Sam HD: The Second Encounter, Serious Sam HD: The First Encounter, Serious Sam 2, Serious Sam Classic: The First Encounter",
AWE Games,1,Kyoto,Japan,1980-03-29 00:00:00,Disney•Pixar Cars: Radiator Springs Adventures,
Aspyr,1,Vancouver,Canada,2008-06-03 00:00:00,"Torn, Heads Up! Phones Down Edition, Stubbs the Zombie in Rebel Without a Pulse, Call of Duty: Black Ops - Mac Edition",
iRacing,1,Berlin,Germany,2014-11-08 00:00:00,iRacing - 3-month new membership,
Sysiac games,1,Montreal,Canada,1975-07-11 00:00:00,The Captain,
Halberd Studios,1,Helsinki,Finland,1976-02-23 00:00:00,9 Years of Shadows,
Pixel Prototype,1,Austin,United States,1996-08-21 00:00:00,Pixel Petkeeper,Growth artist road account.
Empyrean,1,Berlin,Germany,2000-01-14 00:00:00,"Slinger VR, House Flipper, Pixplode, Body of Evidence",
Unimy Studios Ltd,1,Helsinki,Finland,2021-10-31 00:00:00,Fast Burger Simulator,Way executive door teacher.
noio,1,Los Angeles,United States,2014-08-09 00:00:00,Kingdom New Lands,
CaRacing Studio,1,Amsterdam,Netherlands,1986-03-06 00:00:00,"Race On Ice 2021 Pro, Colour Card Game, Race On Ice 2020 Pro, RX Racing 2021 Pro, RX Racing 2019 Pro",
SneakyBox,1,Warsaw,Poland,2001-11-01 00:00:00,"Caverns of Mars: Recharged, Berzerk: Recharged, Goalkeeper VR Challenge, Quantum: Recharged, Days of Doom",Change where any later career success maybe especially.
Silentplaygames,1,Seoul,South Korea,2016-06-15 00:00:00,"Hero's Story, Wanderer of Teandria",
Nvizzio Creations,0,Berlin,Germany,2014-08-22 00:00:00,"ROKH, RollerCoaster Tycoon World™, RollerCoaster Tycoon Adventures",Parent leg example else part brother federal.
Mimimi Games,1,Los Angeles,United States,2000-04-15 00:00:00,"Shadow Gambit: The Cursed Crew, Desperados III, The Last Tinker™: City of Colors, Shadow Tactics: Blades of the Shogun, Shadow Tactics: Aiko's Choice",
Slug Disco,1,Montreal,Canada,2018-09-29 00:00:00,Empires of the Undergrowth,
Palm Pioneer,1,Melbourne,Australia,2019-04-29 00:00:00,Tales of the Neon Sea,Move perhaps voice blue religious mean.
Brimstone,1,Melbourne,Australia,2016-10-18 00:00:00,"Lance A Lot: Classic Edition, BANZAI ROYALE, Lance A Lot: Enhanced Edition",
RocketPunch Games,0,London,United Kingdom,2019-06-26 00:00:00,HARDCORE MECHA,
CP games,1,Amsterdam,Netherlands,1977-04-04 00:00:00,Collision Paradise,
Red Team Games,1,Warsaw,Poland,1981-04-23 00:00:00,"Cards and Castles 2, Cards and Castles",
"Edmund McMillen, Tyler Glaiel",1,San Francisco,United States,2017-07-12 15:00:00,The End is Nigh,
E.N.Nach,1,Amsterdam,Netherlands,2012-06-10 00:00:00,CyberRebeat -The Fifth Domain of Warfare-,Score face bit.
Uppercut Games,1,Los Angeles,United States,1985-09-23 00:00:00,City of Brass,
itch.io,1,Warsaw,Poland,2000-01-03 00:00:00,Itch.io,
"Gabe Cuzzillo,Bennett Foddy,Matt Boch",1,Tokyo,Japan,1995-05-07 00:00:00,APE OUT,
Taylor Hatton,1,Stockholm,Sweden,1982-03-01 00:00:00,ChessLocke,Course chance positive officer side win factor.
Decerion,1,Warsaw,Poland,2002-04-28 00:00:00,Huedango,
WaVR,1,Montreal,Canada,2017-08-04 00:00:00,"Avem33, Dragon Orb",
KillPixel,1,Helsinki,Finland,2005-04-05 00:00:00,"Wrath: Aeon of Ruin, WRATH: Aeon of Ruin",
kovalevviktor,1,Toronto,Canada,1999-05-26 00:00:00,"Car Drive, Mysterious House",
Retrific,1,Toronto,Canada,2011-05-16 00:00:00,"Colt Canyon, Invisibox, Beeftacular, Just Get Through",Consider available company while trade seem.
The Astronauts,1,London,United Kingdom,1991-05-02 00:00:00,The Vanishing of Ethan Carter,
New World Interactive,1,Kyoto,Japan,2012-09-03 00:00:00,"Insurgency: Sandstorm, Insurgency: Sandstorm - Mod Tools & Editor, Day of Infamy, Insurgency",
David Wehle,1,Berlin,Germany,1983-08-01 00:00:00,"The First Tree, Home is Where One Starts...",
Pixel Lantern,1,Warsaw,Poland,2015-08-14 00:00:00,"Akinofa, Bard's Gold",
Thap Tam Studio,1,Tokyo,Japan,1993-11-26 00:00:00,Hogvalord,
"Studio Saizensen Co., Ltd",1,Toronto,Canada,2000-12-15 00:00:00,Blade Strangers,
Tymon Zgainski,0,San Francisco,United States,1977-04-06 00:00:00,Rituals,Can arrive allow seek another build generation.
Fatalitech,1,Austin,United States,1986-12-19 00:00:00,Endless Combat,
Antab Studio,1,Los Angeles,United States,1991-05-21 00:00:00,"FORECLOSED, GRIDD: Retroenhanced",
Mobius Digital,1,Berlin,Germany,1998-06-14 00:00:00,Outer Wilds,
BuffGames,1,Tokyo,Japan,1996-12-31 00:00:00,Football Bus Battle 2021,
Crab Armour Games LLP,1,Seoul,South Korea,1985-05-12 00:00:00,Eternal,
Red Triangle Games,1,Seattle,United States,1983-06-11 00:00:00,"Axe Cop, Mr. Triangle's Adventure, Surfasaurus, Mr. Triangle's Maze, Red Triangle Super Collection",
Arkio ehf.,1,Seoul,South Korea,2000-01-21 00:00:00,Arkio,
Dragonest Games,1,Tokyo,Japan,1997-06-07 00:00:00,Auto Chess,
Piranha Bytes,1,Seattle,United States,1994-11-04 00:00:00,"Gothic® 3, Gothic 1, Risen 2: Dark Waters, ELEX, Risen 3 - Titan Lords",
Josh Tam Universe,1,Seoul,South Korea,1983-06-19 00:00:00,"Dean Daimon, Final Slam 2, Armada Skies, OboStar",
VIS-Games,1,Los Angeles,United States,1997-12-07 00:00:00,"Plant Fire Department - The Simulation, Firefighters - The Simulation, The Secret of Pineview Forest, Obscuritas, Insane",
FSG games,1,Austin,United States,1989-08-18 00:00:00,Ship Fight,Where alone side military audience other let check.
Mediatonic,1,Amsterdam,Netherlands,2009-02-25 00:00:00,"Foul Play, Murder by Numbers, Fall Guys, Who's That Flying?!, Hatoful Boyfriend: Holiday Star",
NEKO WORKs,1,Melbourne,Australia,1978-11-18 00:00:00,"NEKOPARA - Catboys Paradise, NEKOPARA Vol. 1, NEKOPARA Vol. 3, NEKOPARA Extra, NEKOPARA Vol. 2",
Creobit,1,Melbourne,Australia,1997-07-30 00:00:00,"Christmas Mahjong 2, Easter Riddles, Mystery Solitaire Cthulhu Mythos, Pirate Mosaic Puzzle. Caribbean Treasures, Olympus Griddlers",Science wide challenge as rate.
CFF Games,1,Tokyo,Japan,2018-11-04 00:00:00,Cute Fight,
Malfador Machinations,1,Vancouver,Canada,2001-03-20 00:00:00,"Space Empires V, Space Empires I, Space Empires II, Space Empires: Starfury, Space Empires IV Deluxe",
Anshar Studios,1,Berlin,Germany,2017-05-18 00:00:00,"Telefrag VR, Gamedec, Detached, Detached: Non-VR Edition",Him near home have hair.
"Thekla, Inc.",1,San Francisco,United States,2000-07-18 00:00:00,The Witness,
Ed Lioni,1,London,United Kingdom,1975-01-02 00:00:00,Ghost of Tomorrow: Chapter 1,Expert case country particularly environmental event his.
SMG Studio,1,Toronto,Canada,2003-01-29 00:00:00,"OTTTD, RISK: Global Domination, Death Squared, One More Line",
MagicHouse,1,Melbourne,Australia,1977-03-03 00:00:00,"Les Fleursword, When Sword Sinks Into Flowers, AI Escort, Melting pot., Song of sheep gathering in Philia",
Soleil Ltd.,1,Boston,United States,1984-03-02 00:00:00,"Wanted: Dead, NARUTO TO BORUTO: SHINOBI STRIKER, RockShot, Space Runaway, Samurai Jack: Battle Through Time",
Opera GX,1,Stockholm,Sweden,1978-09-09 00:00:00,Opera GX - The First Browser for Gamers,
Justin sawchuk,1,Stockholm,Sweden,2004-03-04 00:00:00,Archery Arena,
Roeb,1,San Francisco,United States,1985-09-04 00:00:00,GeraScopia,
Asmodee Digital,1,London,United Kingdom,1983-12-13 00:00:00,"Takenoko, Terraforming Mars, Arkham Horror: Mother's Embrace, Munchkin: Quacked Quest, Carcassonne",Writer leave year hot ability tell admit realize.
Stray Fawn Studio,1,Vancouver,Canada,1988-12-12 00:00:00,"Nimbatus - Drone Creator, The Wandering Village, Nimbatus - The Space Drone Constructor, Niche - a genetics survival game",Tv way direction every.
Playmestudio,1,Helsinki,Finland,1994-01-04 00:00:00,"The Signifier Director's Cut, The Signifier: Director's Cut",
Shiro Games,0,Montreal,Canada,2013-04-04 00:00:00,"Dune: Spice Wars, Evoland, Wartales, Evoland 2, Darksburg",
Flox Studios,1,Montreal,Canada,1976-08-02 00:00:00,"Wandering Trails: A Hiking Game, Life in Bunker, Frozen State, Mist Hunter",
SP GAMES,1,London,United Kingdom,2000-06-13 00:00:00,"Raccoon: The Orc Invasion, Battle Tanks: Arena, WWII Tanks: Battlefield, WWII Tanks: Forgotten Battles, Sunset Racer",
Atomic Fabrik,1,San Francisco,United States,1992-01-11 00:00:00,"Old Town Bus Simulator, Try to Escape!, Auto Mechanic Sim, Bike Offroad Simulator, Out of Fuel",
"Double Damage Games, Inc.",1,London,United Kingdom,2010-08-01 00:00:00,Rebel Galaxy,
Illunsoft,1,Singapore,Singapore,1999-10-06 00:00:00,"Magellania, Juno 06",Claim sign tell part budget.
Springloaded,1,Singapore,Singapore,2009-06-28 00:00:00,"Let's Build A Zoo, Let's Build a Zoo, The Legend of Evil, GORSD, Campaign Clicker",Student small southern three director white.
Eliteteams Interactive,0,Montreal,Canada,2010-01-23 00:00:00,Project Plainsight,
Anonymous Pixel,1,Melbourne,Australia,2023-01-17 00:00:00,String Along,
Marc Kletz,1,Seattle,United States,2008-02-17 00:00:00,Carotic - Academic Version,Produce around hot free cell avoid board.
Rectangle Eyes,1,Los Angeles,United States,2016-09-29 00:00:00,Belongings,
Psyonix LLC,1,Boston,United States,1997-04-02 00:00:00,Rocket League®,
1.5 hp games,1,Helsinki,Finland,2017-11-17 00:00:00,Space Carrot,About political everyone board nation possible time.
Limbic Entertainment,1,Los Angeles,United States,1978-08-12 00:00:00,"Might and Magic: Heroes VII - Ultimate Edition, Tropico 6, Park Beyond, Might and Magic: Heroes VII – Trial by Fire, Might & Magic® Heroes® VII",
Matt Makes Games,1,Kyoto,Japan,2018-01-05 15:00:00,"TowerFall Ascension, Celeste",Become class particularly guy point decision.
Artisan Studios,1,Berlin,Germany,1997-02-27 00:00:00,"Super Neptunia RPG, Astria Ascending",
Capricia Productions,1,Toronto,Canada,1992-06-10 00:00:00,"Of Bird And Cage, Of Bird and Cage",
Parallax,1,Toronto,Canada,1993-10-02 00:00:00,"Descent, Descent 2",Land we true sing size piece agreement.
Toxic Games,1,Singapore,Singapore,2014-05-21 00:00:00,"Q.U.B.E. 10th Anniversary, Q.U.B.E. 2, Q.U.B.E: Director's Cut",Since push page feel describe well.
Choice of Games,1,Los Angeles,United States,2000-09-07 00:00:00,"VERSUS: The Deathscapes, The Hero Unmasked!, The Superlatives: Aetherfall, Sixth Grade Detective, Empyrean",
VBlank Entertainment,1,Los Angeles,United States,1978-10-15 00:00:00,Shakedown - Hawaii,
Arturo Zafra Moreno,1,Montreal,Canada,1983-02-07 00:00:00,"Blood Money, Good Money",Until sound test travel.
Artefacts Studio,1,Toronto,Canada,1999-04-24 00:00:00,"Moto Racer  4, The Dungeon of Naheulbeuk, ATV Drift & Tricks, Garfield Kart - Furious Racing, Garfield Kart",
Ben Esposito,1,Los Angeles,United States,2015-11-28 00:00:00,Donut County,
Zen Studios,1,Berlin,Germany,1979-10-26 00:00:00,"Operencia: The Stolen Sun, Pinball FX3, KickBeat Steam Edition, Minigolf Galaxy, Pinball FX",Big recognize others.
Tomas Sala,1,Warsaw,Poland,1993-04-12 00:00:00,"The Falconeer: Standard Edition, The Falconeer",
Nicolas Meyssonnier,1,Singapore,Singapore,1975-02-25 00:00:00,Pumpkin Jack,
"Oddworld Inhabitants, Inc.",1,Amsterdam,Netherlands,1996-11-11 00:00:00,Oddworld: Soulstorm Enhanced Edition,
NeoNight,1,Singapore,Singapore,1996-06-23 00:00:00,"Sorry. (Entschuldigung) ~ A Psychological Horror Visual Novel, Always The Same Blue Sky...",
Giant Army,1,Berlin,Germany,2011-04-29 00:00:00,"Universe Sandbox Legacy, Universe Sandbox",
Tunnel Vision Studio,1,Toronto,Canada,1975-10-08 00:00:00,"Lost in the Ocean VR, Starsand, My Desktop Alive, Slime Up",Church time during beautiful various.
Forgotten Key,1,Boston,United States,1986-11-02 00:00:00,AER Memories of Old,
Ortharion project,1,San Francisco,United States,1983-01-28 00:00:00,"Ortharion : The Last Battle, Ortharion project, Ortharion : The Last Battle Prologue",
Easy Trigger Games,1,Seattle,United States,1979-12-29 00:00:00,"Huntdown, HUNTDOWN",
Ko-Op,1,Seoul,South Korea,2008-05-11 00:00:00,GNOG,Member interest stage half oil.
NSFWEntertainment,1,Amsterdam,Netherlands,1997-04-12 00:00:00,"Hentai Jigsaw Puzzle Collection: Spring Edition, Hentai Jigsaw Puzzle Collection: Christmas Edition, Hentai Jigsaw Puzzle Collection: Autumn, Hentai Jigsaw Puzzle Collection: Valentine’s Edition",Himself ago easy also.
Sysiac Games,1,Berlin,Germany,1990-11-23 00:00:00,The Captain,
Bacon Bandit Games,1,San Francisco,United States,1976-06-12 00:00:00,"Letter Quest: Grimm's Journey Remastered, Letter Quest: Grimm's Journey",
Team17 Digital Ltd,1,San Francisco,United States,1989-02-16 00:00:00,"Worms World Party Remastered, Worms Crazy Golf, Worms Pinball, Worms, 10 Minute Tower",
ThinkVirtual LLC,1,Boston,United States,1983-12-01 00:00:00,"EGG HUNT VR, Anime Bubble Pop",
小小游戏工作室,1,Boston,United States,2009-01-30 00:00:00,"Magic Kingdom War, Vitality Girl Ⅱ:Fire, Goddess Of Card War, X-RACER, Roll Ball",
Dama Dama Games,1,Seoul,South Korea,1977-11-22 00:00:00,Tavernacle!,
Midgar Studio,1,Boston,United States,1989-06-16 00:00:00,Edge Of Eternity,
Dnovel,1,Austin,United States,2011-04-29 00:00:00,"White Paper, Robert: Space Stories and Battles, Adventures at the North Pole, The Niflhel Day, MOVEIT",
Superbrothers + Pine Scented,0,Tokyo,Japan,1989-05-17 00:00:00,JETT: The Far Shore,
Meowtoy Games,0,Stockholm,Sweden,2015-08-27 00:00:00,能量冲击 Energy Shock,College I usually song huge whatever can employee.
IR Studio,1,Singapore,Singapore,1976-02-10 00:00:00,"Science Girls, Cool Lady, Sport Girls, Future & Girls, Kimono Girls",Great power chair.
Tilting Point,1,San Francisco,United States,2002-05-27 00:00:00,Star Trek Timelines,
Broken Arms Games,1,Paris,France,2016-07-07 00:00:00,"Hundred Days - Winemaking Simulator, Kaboom Monsters, ATOMINE",
Grey Alien Games,1,Vancouver,Canada,2011-12-16 00:00:00,"Ancient Enemy, Spring Bonus, Holiday Bonus GOLD, Shadowhand, Shadowhand: RPG Card Game",
CAPY,1,Helsinki,Finland,2009-08-12 00:00:00,Grindstone,Cause mother conference side.
SHN Games,0,Vancouver,Canada,2018-10-19 00:00:00,Countryball: Europe 1890,About then someone share market.
Flying Oak Games,1,Austin,United States,2014-11-29 00:00:00,"NeuroVoider, Scourgebringer, Boo! Greedy Kid",
Clockwork Origins,1,Warsaw,Poland,1978-01-15 00:00:00,"Elemental War 2, Elemental War - A Tower Defense Game, CyberTD, Tri6: Infinite",Enter along yet space.
DON'T NOD,1,San Francisco,United States,2005-01-29 00:00:00,"Twin Mirror, Jusant, Harmony: The Fall of Reverie",
KING Art,1,Melbourne,Australia,1984-10-09 00:00:00,"Battle Worlds: Kronos, Black Mirror, Zoo 2: Animal Park, The Raven Remastered, The Book of Unwritten Tales",
Glass Cargo Software,1,Boston,United States,2003-04-24 00:00:00,Claw Staff,Learn son bit character firm establish.
Noah Lewin,1,San Francisco,United States,1990-07-17 00:00:00,"Super Hipster Lumberjack, American Eristics, Vacancy Unlimited, Spryward, Entodrive",
Lorenzo Redaelli / Eyeguys,1,Vancouver,Canada,1994-10-29 00:00:00,Milky Way Prince – The Vampire Star,Oil PM author small from recent general.
Failbetter Games,0,Kyoto,Japan,1992-02-19 00:00:00,"Sunless Sea, SUNLESS SEA, Sunless Skies: Sovereign Edition, Mask of the Rose",
Silkworm,1,Austin,United States,2006-08-07 00:00:00,"The Wizard and The Slug, Full Moon Rush, Super Mega Zero, Probo Rush",
PASTEL,1,Amsterdam,Netherlands,1975-07-03 00:00:00,"Modo Defence, Underground Dungeon",
Subset Games,1,Los Angeles,United States,1989-07-02 00:00:00,"FTL: Faster Than Light, Into the Breach",
NoBreadStudio,1,Helsinki,Finland,1976-07-16 00:00:00,"Blankspace, SoulSet, The Elevator Game with Catgirls",
LucasArts,1,Kyoto,Japan,2008-07-28 00:00:00,"Afterlife, STAR WARS™ Republic Commando™, STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition, The Dig®, Indiana Jones® and the Emperor's Tomb™",
YuzuGames,1,Kyoto,Japan,2018-07-04 00:00:00,"Handyman Corporation, Collapsed, Handyman Corporation: Prologue",
Fabagame,1,Melbourne,Australia,2010-11-10 00:00:00,Jumplord,
DSGame,1,Seoul,South Korea,1989-09-02 00:00:00,"Lunar Mirror, Seek Girl Ⅳ, Seek Girl Ⅵ, Lost2, Yusetsu",Entire send church crime drive.
Ghost Town Games and Team17 Digital Ltd,1,Singapore,Singapore,1976-05-31 00:00:00,Overcooked! 2,Maintain or senior all well.
Ancient Forge Studio,0,Warsaw,Poland,1977-06-07 00:00:00,"The Tenants, Glorious Companions",
David McIntosh,1,Toronto,Canada,1978-04-17 00:00:00,SnakeLaw Island,
"Funomena, Inc.",1,Amsterdam,Netherlands,1980-11-24 00:00:00,Wattam,
Robotality,1,Berlin,Germany,2010-02-05 00:00:00,"Pathway, Halfway",
Clover Bite,1,Austin,United States,1998-09-11 00:00:00,GRIME,
Games Farm,1,Warsaw,Poland,2013-10-02 00:00:00,"Kult: Heretic Kingdoms, Air Conflicts: Vietnam, Vikings - Wolves of Midgard, Shadows: Heretic Kingdoms, Shadows: Awakening",
Bend Studio,0,San Francisco,United States,2016-09-15 00:00:00,Days Gone,
Ceiba Software and Arts,1,Berlin,Germany,2008-01-29 00:00:00,"Voxel Blast, SOOT",
"Paul Helman,Sean Scapelhorn",1,London,United Kingdom,2012-03-26 00:00:00,Horace,
Loolust,1,Toronto,Canada,1986-06-10 00:00:00,"69 Ember Hot, 69 Iris Hot, 69 Moriko Love, 69 Mary Love, 69 Hitomi Love",Suffer than authority clearly.
No Code,1,San Francisco,United States,1989-08-01 00:00:00,"Observation, Stories Untold",Among you matter action contain.
Utsukushii Games,1,Berlin,Germany,2014-03-12 00:00:00,"Hentai Casual Slider 3, Hentai Casual Swap 2, Hentai Casual Slider, Hentai Blackjack, Hentai Casual Slider 2",
Schmidt Workshops,1,Singapore,Singapore,2002-08-25 00:00:00,"Anomalies, Paradox Vector, Islands of the Caliph, Star Explorers, Rocket Blasters",
Exe Create Inc.,1,Montreal,Canada,1996-09-20 00:00:00,"Asdivine Kamura, Dragon Prana, Illusion of L'Phalcia, Asdivine Hearts II, Asdivine Hearts",
parade,1,Helsinki,Finland,1999-10-12 00:00:00,"NO, THANK YOU!!!, Lkyt., Room No. 9",
34BigThings srl,1,Austin,United States,1988-02-21 00:00:00,"Redout: Space Assault, Redout 2, Super Inefficient Golf, Redout: Enhanced Edition, GOAT OF DUTY",
Game Kombinat,0,San Francisco,United States,2016-04-06 00:00:00,"Four Seals, Universe Balancing Bureau",
Villa Gorilla,1,Los Angeles,United States,1984-02-15 00:00:00,Yoku's Island Express,Also can federal without.
Straitlace Studios,1,London,United Kingdom,2000-04-20 00:00:00,"The SOL Device, The SOL Device 2",Shake situation born just.
SRS Games,1,Melbourne,Australia,1991-06-07 00:00:00,"AIR Battlefront, CRAZY DRIVER, LAB Defence, AREA 51 - DEFENCE, PLANES ATTACK",
Sunhead Games,1,Austin,United States,2000-03-10 00:00:00,Carto,
新倾国之怒,1,Montreal,Canada,2007-12-29 00:00:00,新倾国之怒,
Massive Damage,1,Montreal,Canada,2005-04-02 00:00:00,Halcyon 6 Starbase Commander,
WIZNWAR,1,Austin,United States,2003-11-23 00:00:00,DEMON'S TILT,
Daniel Greaves,0,London,United Kingdom,2022-02-24 00:00:00,Astro Planes,Factor five want thousand foreign.
Tripwire Interactive,1,London,United Kingdom,2006-03-14 00:00:00,"Red Orchestra 2: Heroes of Stalingrad with Rising Storm, Killing Floor 2, Killing Floor: Incursion, Killing Floor, Red Orchestra: Ostfront 41-45",
Double Damage,1,Kyoto,Japan,2011-05-07 00:00:00,Rebel Galaxy Outlaw,
Colorfiction,1,San Francisco,United States,2011-07-14 00:00:00,"0°N 0°W, FICTION #F3F, Becalm",
Digixart,1,San Francisco,United States,1990-09-01 00:00:00,"Road 96: Mile 0 🛹, Lost in Harmony, Road 96 🛣️, Road 96",
Mihai Morosanu,1,Berlin,Germany,1998-10-21 00:00:00,"Totally Mayhem, Hero Quest: Tower Conflict, Santa's Big Adventures, Fruit Arranger, Lost with Dinosaurs",Entire guess thousand well most direction executive address.
Binarystudio 54,1,Montreal,Canada,1994-11-19 00:00:00,"Adventure Of Thieves, Si Kancil : The Adventurous Mouse Deer",
Virtual Guys,1,Boston,United States,2001-08-27 00:00:00,Subject 264,Under four try make.
3 Core Studio,1,Singapore,Singapore,2008-12-10 00:00:00,Pulse Shift,Degree window wind scientist hit college speech.
Games From Earth,0,Seoul,South Korea,2000-04-17 00:00:00,Sunblaze,
Nameless XIII,1,Montreal,Canada,2001-08-28 00:00:00,Ashwalkers,
Leei112,1,Seoul,South Korea,1981-10-11 00:00:00,Priscillas Dream,
Bitbull LTD,1,Austin,United States,2007-03-25 00:00:00,Jetboard Joust,Detail raise manage exactly begin.
Team Mithico,1,Austin,United States,2004-07-26 00:00:00,Early Quest 2,
Passtech Games,0,Warsaw,Poland,1986-08-28 00:00:00,"Masters of Anima, Curse of the Dead Gods, Space Run, Ravenswatch, Space Run Galaxy",
Granzella Inc.,1,Warsaw,Poland,1993-10-17 00:00:00,"R-Type Final 2, Disaster Report 4: Summer Memories",
Flip It,1,Montreal,Canada,2008-09-22 00:00:00,"Rolling Hamster, Tiny Stories: Santa Closes",
Absorb Reality,1,Paris,France,1991-06-01 00:00:00,"Dissolved - Chapter One, Railed Up, Kiai Resonance, Divine Ascent",
Natrix Games,1,London,United Kingdom,1986-11-23 00:00:00,Project Vostok: Episode 1,
Futurtech,1,Vancouver,Canada,2000-12-23 00:00:00,"LA FORET DE PAGO : LA VENGEANCE DU DRAGON, CARNAGE OFFERING, PAGO FOREST: TOWER DEFENSE, PAGO FOREST: DRAGON'S REVENGE, CARNAGE OFFERING TD",
Antti Juotasniemi,1,Stockholm,Sweden,2008-03-31 00:00:00,San Diablos,
Remedy Entertainment,1,Toronto,Canada,1986-06-15 00:00:00,"Quantum Break, Alan Wake's American Nightmare, Alan Wake’s American Nightmare, Control, Control Ultimate Edition",White imagine today it town.
Days of Wonder,1,San Francisco,United States,2010-06-18 00:00:00,"Gang of Four, Small World, Splendor, Memoir '44 Online, Ticket to Ride",Appear time mother.
Furry Dreams Lab,1,Warsaw,Poland,2020-01-25 00:00:00,"Dreams with Furry 🦊, Furry Reich 🐺, Love with Furry 🐺",
Dave Kap,1,Amsterdam,Netherlands,2017-07-31 00:00:00,IncrediMarble,
"Sketchbook Games, Fourth State",1,San Francisco,United States,1987-03-07 00:00:00,Lost Words: Beyond the Page,
MorbidWare,1,Kyoto,Japan,2018-08-28 00:00:00,The Textorcist: The Story of Ray Bibbia,Art week child security almost apply back.
Lupiesoft,1,Paris,France,1984-04-03 00:00:00,"The Stargazers, The Reject Demon: Toko Chapter 0 — Prelude, Dizzy Hearts Chapter 1, Mutiny!!",
StormCube Games,1,Seattle,United States,2016-03-22 00:00:00,"Vortex: The Gateway, reconquest, Starway Fleet",
Emet512,1,Tokyo,Japan,1976-05-12 00:00:00,AlphaBit,
Stefan Elsen,1,London,United Kingdom,1975-06-16 00:00:00,Hexaverse,
Playtonic Games Ltd.,1,San Francisco,United States,2009-07-24 00:00:00,Yooka-Laylee and the Impossible Lair,
ACE Team,1,Stockholm,Sweden,1979-10-02 00:00:00,"The Deadly Tower of Monsters, Zeno Clash, Rock of Ages 2: Bigger & Boulder™, Zeno Clash 2, Rock of Ages",
Experiment 101,1,Vancouver,Canada,2018-01-22 00:00:00,BIOMUTANT,
Field of View CE,1,Boston,United States,2014-07-07 00:00:00,Unsettled,
Opala Project,0,San Francisco,United States,2000-08-30 00:00:00,"BasCatball Mars: Basketball & Cat, BasCatball Jupiter: Basketball & Cat, The Devil's Chosen, BasCatball Saturn: Basketball & Cat, Thats Life of Ralph",
Ferulox Studios,1,Toronto,Canada,1996-08-12 00:00:00,"Space Climber, Star Tank, MIBT, XEYYEX, KONGEER",Beat financial president full.
Marcelo Barbosa,1,Los Angeles,United States,2001-09-02 00:00:00,"Tcheco in the Castle of Lucio, Skatemasta Tcheco",
Cannibal Interactive,1,Toronto,Canada,1984-06-24 00:00:00,"There May Be Ninety-Nine Of Us, But We Have To Win In Ninety-Nine Turns!, I Have Low Stats But My Class Is Leader, So I Recruited Everyone I Know To Fight The Dark Lord, Legend of Moros, Purgatory Dungeoneer, It's Six Random Characters and a Single Floor Dungeon, That's the Whole Game",Those job ago meeting story.
Dark Crystal Games,1,San Francisco,United States,2010-05-02 00:00:00,Encased: A Sci-Fi Post-Apocalyptic RPG,
Adam Robinson-Yu,1,Tokyo,Japan,1991-11-04 00:00:00,A Short Hike,
QQ群：596572688,1,Tokyo,Japan,2009-05-14 00:00:00,天仙月-GM畅玩版,
JANUS LABS,0,London,United Kingdom,1990-06-14 00:00:00,"NecroLand : Undead Corps, NecroLand: Undead Corps",Anyone coach wall entire enjoy national.
Realmforge Studios,1,Kyoto,Japan,2009-02-27 00:00:00,"Dungeons 2, Dungeons, Dungeons - The Dark Lord, Dungeons 4, M.U.D. TV",
GRüN STUDIO,0,Los Angeles,United States,1983-01-27 00:00:00,Green Elephant: Epilogue,Course between government.
Cuddle Monster Games,1,Austin,United States,1976-01-11 00:00:00,"LONE RUIN, Hell is other demons, Hell is Other Demons",
Green Cube Games,1,London,United Kingdom,2018-06-30 00:00:00,"Ghost Puncher, Just Shoot: Slimes, Monsters Mall",Police one prove language.
Orangepixel,1,Seoul,South Korea,1978-02-25 00:00:00,"Ashworld, Space Grunts, Heroes of Loot, Gunslugs 3:Rogue Tactics, Gunslugs 2",Structure Democrat throughout lose.
VolumeUp Studios,1,Vancouver,Canada,2016-02-29 00:00:00,And So It Was,Necessary son hear allow.
Devespresso Games,1,Los Angeles,United States,2008-11-20 00:00:00,"The Coma 2: Vicious Sisters, The Coma: Cutting Class, Vambrace: Cold Soul, Scarlet Hood and the Wicked Wood, The Coma: Recut",Though sea join fine condition.
Double Stallion Games,1,Helsinki,Finland,2016-01-12 00:00:00,"Big Action Mega Fight!, Speed Brawl",
Amilton Neves,1,Montreal,Canada,2018-02-02 00:00:00,PIXEL ZUMBI,
Thunder Lotus,1,Vancouver,Canada,2017-07-28 16:00:00,"Jotun: Valhalla Edition, Sundered: Eldritch Edition, Spiritfarer®: Farewell Edition",Enjoy defense such owner boy clear set.
DriftyGames,1,London,United Kingdom,1977-05-01 00:00:00,Leap of Faith,
Nodding Heads Games,1,Seoul,South Korea,2004-06-13 00:00:00,"Raji: Prologue, Raji: An Ancient Epic",
Codebyfire,1,Los Angeles,United States,1984-12-16 00:00:00,The Colonists,Hotel person win surface.
